town,fips,planning_region,gap,Colleges & Hospitals PILOT,DECD PILOT Grant,DECD Tax Abatement,Disability Exemption,Elderly Circuit Breaker,Elderly Freeze,LoCIP,Pequot Grants,State Property PILOT,Town Aid Road,Veterans' Exemption,totalaid,population,fy15_pc_aid
Andover,901301080,Capitol Region,16,0,0,0,497.51,14147.77,0,28185,15989.8,20165.27,190165,1139.69,270290.04,3354,80.5873703
Ansonia,900901220,Naugatuck Valley,734,0,0,13473,2748.77,124876.88,0,176587,171557.42,116974.94,318737,27395.64,952350.65,19714,48.30834179
Ashford,901501430,Northeast CT,291,0,0,0,1123.45,20400.14,0,49252,24197.57,6170.78,291170,1466.63,393780.57,4413,89.23194426
Avon,900302060,Capitol Region,-631,0,0,0,1086.25,86558.4,0,108884,16843.73,95894.6,311737,4714.66,625718.64,18904,33.0998011
Barkhamsted,900502760,Northwest Hills,-95,0,0,0,209.96,19605.79,0,35653,16416.84,20533.65,195865,2397.37,290681.61,3881,74.89863695
Beacon Falls,900903250,Naugatuck Valley,65,0,0,0,1800.61,53629.3,0,37461,29603.61,50469.28,188588,12544.81,374096.61,6376,58.67261763
Berlin,900304300,Capitol Region,-207,0,0,0,2728.53,115767.88,2000,125683,52750.15,26031.73,332340,11534.55,668835.84,20531,32.57687594
Bethany,900904580,South Central,-183,16126.07,0,0,288.95,33451.88,0,46761,19171.38,38215.04,211211,6358.02,371583.34,5761,64.49979865
Bethel,900104720,Western CT,-85,16550.6,0,37013,2272.04,119313.99,0,118708,51561.06,36006.92,318762,10134.51,710322.12,18630,38.12786473
Bethlehem,900504930,Naugatuck Valley,-265,0,0,0,134.07,32638.27,0,34326,15431.05,1198.8,214442,3383.94,301554.13,3678,81.9886161
Bloomfield,900305910,Capitol Region,159,208883.17,0,58383,1667.88,141641.31,0,126327,157761.04,128054.77,337076,9977.05,1169771.22,20846,56.1149007
Bolton,901306260,Capitol Region,-36,0,0,0,783.18,30409,0,37644,20238.41,42490.5,200448,5219.78,337232.87,4953,68.08658793
Bozrah,901106820,Southeastern CT,-44,0,0,0,387.61,24081.99,0,26545,18043.73,5304.37,181856,1136.24,257354.94,2772,92.84088745
Branford,900907310,South Central,-319,113860.8,0,0,2728.65,214246.54,6000,154428,57869.33,58564.5,399296,26456.03,1033449.85,27764,37.22265704
Bridgeport,900108070,Greater Bridgeport,1168,7962793.95,0,29641,16291.48,739199.19,8000,2413992,6196581.13,3012598.46,1383106,31703.26,21793906.47,147710,147.5452337
Bridgewater,900508210,Western CT,-1800,0,0,0,102.92,14829.17,0,23655,8687.85,1421.1,178861,2264.76,229821.8,1663,138.1971137
Bristol,900308490,Naugatuck Valley,428,581447.34,54794,0,13352.15,342923.59,6000,471380,592173.77,95900.95,665128,30932.76,2854032.56,60807,46.93592119
Brookfield,900108980,Western CT,-658,0,0,0,1418.83,93610.41,0,103800,24761.49,30458.56,303840,9427.82,567317.11,16635,34.10382387
