town,population,total_aid,allocation,gap
Abington,16789,1663872,99.10489011,598.55
Acton,21234,1183155,55.71983611,360.60
Acushnet,10377,1282445,123.5853329,687.02
Adams,8247,1980179,240.1090093,1098.99
Agawam,28616,3116003,108.8902362,914.97
Alford,390,11869,30.43333333,-1360.60
Amesbury,16708,1645476,98.48431889,677.10
Amherst,36246,7120842,196.4586989,1126.88
Andover,33700,1511358,44.8474184,78.73
Arlington,41724,6416909,153.7941952,314.46
Ashburnham,6070,672501,110.790939,851.58
Ashby,3108,370356,119.1621622,699.53
Ashfield,1827,157026,85.94745484,688.01
Ashland,15383,1143808,74.35532731,450.42
Athol,11862,2239276,188.777272,653.95
Attleboro,43645,4825303,110.5579791,864.49
Auburn,16474,1448540,87.92885759,681.47
Avon,4375,586234,133.9963429,565.15
Ayer,7854,640306,81.52610135,910.04
Barnstable,46297,1779132,38.42866708,-20.23
Barre,5616,760702,135.4526353,634.32
Becket,1802,76812,42.62597114,283.38
Bedford,13814,970936,70.28637614,482.47
Belchertown,14141,1439150,101.7714447,760.99
Bellingham,15853,1435208,90.53226519,292.37
Belmont,23675,1909790,80.66694826,-134.05
Berkley,6498,514636,79.1991382,347.59
Berlin,2950,170528,57.80610169,-148.51
Bernardston,2235,246005,110.0693512,619.14
Beverly,39513,4939380,125.0064536,561.43
Billerica,39865,4925266,123.5486266,659.66
Blackstone,9725,1157715,119.0452442,550.48
Blandford,1301,107398,82.55034589,474.10
Bolton,4604,166996,36.27193745,60.80
Boston,645169,160247301,248.3803484,1001.52
Bourne,19390,1239900,63.94533265,45.19
Boxborough,5174,213357,41.23637418,220.72
Boxford,8164,411171,50.36391475,-350.09
Boylston,4373,289720,66.25200091,402.28
Braintree,35296,4840026,137.1267566,592.28
Brewster,9976,333966,33.47694467,-394.64
Bridgewater,27263,3080637,112.9969923,576.77
Brimfield,3813,329768,86.48518227,662.26
Brockton,93529,17709906,189.3520299,1040.07
Brookfield,3400,417618,122.8288235,751.91
Brookline,56410,5370029,95.19640135,-133.45
Buckland,1989,258986,130.2091503,786.69
Burlington,25688,2215064,86.22952351,681.77
Cambridge,108780,18170690,167.0407244,272.99
Canton,22382,1813812,81.03887052,300.75
Carlisle,4878,185546,38.03731037,-559.02
Carver,12034,1235613,102.6768323,614.87
Charlemont,1386,147847,106.6717172,932.95
Charlton,12637,1225401,96.96929651,443.11
Chatham,6753,127294,18.8499926,-3087.22
Chelmsford,34111,4292998,125.8537715,563.64
Chelsea,37483,6946677,185.3287357,1729.85
Cheshire,3304,519594,157.2621065,784.39
Chester,1308,152278,116.4204893,846.28
Chesterfield,1270,116778,91.9511811,673.23
Chicopee,55994,9739822,173.9440297,1179.01
Chilmark,894,3172,3.548098434,-10447.39
Clarksburg,1615,307692,190.5213622,929.46
Clinton,14196,1991079,140.2563398,892.69
Cohasset,7409,435162,58.73424214,-865.55
Colrain,1855,244112,131.5967655,776.68
Concord,17580,981239,55.81564278,-866.93
Conway,1899,151164,79.60189573,249.74
Cummington,972,70560,72.59259259,1006.68
Dalton,6553,962329,146.853197,743.54
Danvers,27232,2409018,88.46276439,524.71
Dartmouth,34420,2132179,61.9459326,463.34
Dedham,24825,2765940,111.4175227,526.71
Deerfield,4692,406247,86.58290708,401.84
Dennis,15434,460638,29.84566541,-568.33
Dighton,6779,654018,96.47706151,520.76
Douglas,8099,617250,76.21311273,421.29
Dover,5723,162705,28.43001922,-2335.33
Dracut,29415,2963502,100.7479857,625.71
Dudley,11224,1511226,134.6423735,566.86
Dunstable,3375,208034,61.6397037,136.39
Duxbury,14362,749739,52.20296616,15.51
East Bridgewater,14097,1266059,89.81052706,568.41
East Brookfield,2088,245303,117.4822797,279.30
East Longmeadow,15936,1224304,76.82630522,924.30
Eastham,5463,126013,23.06663006,-709.68
Easthampton,16324,2377410,145.6389365,843.69
Easton,23005,1852233,80.51436644,425.93
Edgartown,4054,56341,13.89763197,-5490.00
Egremont,1343,53367,39.73715562,-379.69
Erving,1549,56849,36.7004519,-2316.36
Essex,3342,207087,61.96499102,54.42
Everett,38303,5843460,152.5588074,1061.64
Fairhaven,16111,1907302,118.3850785,789.33
Fall River,90885,20156220,221.777191,1379.76
Falmouth,32824,1172624,35.72459176,-326.84
Fitchburg,42161,7218116,171.2036242,1141.94
Florida,675,42100,62.37037037,-93.68
Foxborough,17087,1259852,73.73160883,366.41
Framingham,67185,8415039,125.2517526,924.65
Franklin,32079,2089973,65.15081518,174.72
Freetown,9076,803160,88.49272807,547.84
Gardner,20972,3584191,170.9036334,987.92
Gay Head (Aquinnah),370,1976,5.340540541,-2430.28
Georgetown,8726,605914,69.43777218,335.60
Gill,1396,205734,147.3739255,781.88
Gloucester,30534,3378096,110.6339163,628.29
Goshen,957,67666,70.70637409,888.90
Gosnold,85,1774,20.87058824,-5195.56
Grafton,17800,1322498,74.29764045,434.89
Granby,6305,746820,118.4488501,749.09
Granville,1643,135608,82.53682288,623.85
Great Barrington,7358,641908,87.23946725,497.95
Greenfield,17537,2685303,153.1221418,1157.46
Groton,10781,655194,60.77302662,226.78
Groveland,7456,615686,82.57591202,409.08
Hadley,4753,383877,80.76520093,566.18
Halifax,7790,767798,98.56200257,639.17
Hamilton,8251,568272,68.87310629,240.41
Hampden,5386,581924,108.0438173,809.76
Hancock,1264,47754,37.78006329,-971.22
Hanover,14115,1791747,126.9392136,286.57
Hanson,10139,1083133,106.8283854,246.98
Hardwick,2673,393766,147.3123831,679.86
Harvard,6156,1252599,203.4761209,159.06
Harwich,12254,364333,29.73176106,-401.13
Hatfield,3262,263917,80.90649908,473.56
Haverhill,61588,8312994,134.9774956,891.61
Hawley,337,36605,108.620178,1045.93
Heath,796,70768,88.90452261,820.89
Hingham,23270,1334874,57.3645896,-505.11
Hinsdale,1909,188327,98.65217391,905.47
Holbrook,10738,1248008,116.2235053,780.84
Holden,17658,1617133,91.5807566,696.85
Holland,2566,170719,66.53117693,772.94
Holliston,14193,1309824,92.28662016,571.77
Holyoke,40005,8590161,214.7271841,1468.67
Hopedale,6241,551538,88.37333761,214.76
Hopkinton,14657,664434,45.33219622,80.58
Hubbardston,4479,381006,85.06496986,383.81
Hudson,20005,1686649,84.31137216,673.06
Hull,11123,1792503,161.1528365,553.54
Huntington,2233,291504,130.5436632,706.74
Ipswich,13412,1357726,101.2321801,38.82
Kingston,12484,811851,65.03132009,408.72
Lakeville,10623,692065,65.14779253,370.49
Lancaster,7034,808506,114.9425647,636.06
Lanesborough,2853,291766,102.2663863,883.89
Lawrence,70592,16607385,235.2587404,1849.88
Lee,5740,526757,91.7695122,703.86
Leicester,11140,1468595,131.8307899,694.90
Lenox,5084,450838,88.67781275,70.71
Leominster,42293,4840828,114.4593195,795.94
Leverett,1787,150975,84.48517068,352.35
Lexington,30929,1296276,41.91134534,-190.27
Leyden,809,69641,86.08281829,791.46
Lincoln,8653,575819,66.54559112,-1019.07
Littleton,8975,601236,66.99008357,576.65
Longmeadow,15527,1181711,76.10684614,673.25
Lowell,104400,21304471,204.0658142,1321.55
Ludlow,22161,2583866,116.5951897,1180.53
Lunenburg,10157,894449,88.06232155,738.47
Lynn,87532,18937447,216.3488439,1294.14
Lynnfield,12035,879672,73.09281263,63.81
Malden,56151,10611641,188.9840074,954.92
Manchester,5205,188099,36.13813641,-1861.34
Mansfield,23303,1886682,80.96305197,560.82
Marblehead,19962,963171,48.25022543,-716.58
Marion,5183,190849,36.82211075,-574.16
Marlborough,38469,4604312,119.6888924,748.73
Marshfield,24888,1832321,73.62266956,197.46
Mashpee,14367,311192,21.6601935,-390.71
Mattapoisett,6519,342810,52.58628624,4.82
Maynard,10629,1328816,125.0179697,728.69
Medfield,12274,1226088,99.89310738,225.78
Medford,55578,10259690,184.5998417,690.61
Medway,12901,1031914,79.98713278,664.11
Melrose,27093,4337759,160.1062636,586.20
Mendon,5703,345651,60.60862704,67.37
Merrimac,6609,711660,107.6804358,411.78
Methuen,44371,4598863,103.645692,826.26
Middleborough,21375,2085358,97.56060819,734.61
Middlefield,559,44965,80.43828265,640.08
Middleton,9241,462794,50.08051077,266.10
Milford,27616,2583471,93.54978998,804.71
Millbury,13579,1497772,110.3006112,722.75
Millis,8034,885551,110.225417,691.30
Millville,2960,344528,116.3945946,619.08
Milton,26186,2717762,103.7868327,229.44
Monroe,96,15552,162,901.45
Monson,9073,1104115,121.692384,901.81
Montague,8175,1212188,148.2798777,1019.34
Monterey,957,39107,40.86415883,-998.69
Montgomery,730,73404,100.5534247,412.43
Mount Washington,135,25355,187.8148148,-2736.53
Nahant,3630,319586,88.04022039,-226.66
Nantucket,11322,67017,5.91918389,-7331.15
Natick,32338,3223110,99.66942915,74.60
Needham,29037,1476550,50.85063884,-337.73
New Ashford,248,17180,69.27419355,182.51
New Bedford,91112,19457251,213.5531105,1529.61
New Braintree,1135,111657,98.37621145,635.43
New Marlborough,1508,49535,32.84814324,-109.51
New Salem,957,87758,91.70114943,727.25
Newbury,6912,438043,63.37427662,38.49
Newburyport,17594,2157204,122.610208,245.08
Newton,84600,4970628,58.75446809,-484.32
Norfolk,11188,811132,72.50017876,327.46
North Adams,13816,3752495,271.6050232,1345.37
North Andover,27759,1733403,62.44472063,379.62
North Attleborough,27825,2433430,87.45480683,303.31
North Brookfield,5057,673975,133.2756575,794.90
North Reading,14463,1501819,103.8386918,229.80
Northampton,28370,3717624,131.0406768,771.86
Northborough,14863,943470,63.47776357,378.96
Northbridge,14720,1785406,121.2911685,622.88
Northfield,3311,305594,92.29658713,513.75
Norton,19315,1757961,91.01532488,593.43
Norwell,10336,906717,87.72416796,-11.71
Norwood,28459,3934274,138.2435785,670.20
Oak Bluffs,3954,61514,15.55741022,-1319.28
Oakham,1946,162277,83.39003083,282.43
Orange,7699,1366932,177.5466944,1003.32
Orleans,6256,145288,23.22378517,-1858.35
Otis,1396,30765,22.03796562,-352.85
Oxford,13813,1739231,125.9126185,748.46
Palmer,13124,1696284,129.2505334,948.11
Paxton,4832,457701,94.72288907,475.52
Peabody,51726,6105613,118.037602,472.04
Pelham,1399,134637,96.23802716,779.85
Pembroke,18848,1421815,75.43585526,599.64
Pepperell,11508,1262405,109.6980361,557.87
Peru,830,96598,116.3831325,599.97
Petersham,1327,96968,73.07309721,531.66
Phillipston,1787,156021,87.30889759,539.79
Pittsfield,42432,7302808,172.1061463,1144.92
Plainfield,595,42434,71.31764706,854.26
Plainville,8289,641687,77.41428399,538.72
Plymouth,56845,3314295,58.30407248,414.66
Plympton,2800,200664,71.66571429,640.37
Princeton,3520,250431,71.14517045,540.31
Provincetown,3417,116995,34.23909862,-1526.81
Quincy,91073,16150797,177.3390247,848.45
Randolph,31040,4396472,141.6389175,843.22
Raynham,13648,961807,70.47237691,233.86
Reading,23512,2742082,116.6247873,446.84
Rehoboth,11515,881695,76.56925749,284.26
Revere,51693,8700801,168.3168127,1269.12
Richmond,1571,91509,58.24888606,-159.19
Rochester,5312,359241,67.6282003,421.92
Rockland,18086,2236010,123.6320911,776.04
Rockport,7675,370109,48.22267101,59.62
Rowe,347,3332,9.602305476,-8064.57
Rowley,5826,456773,78.40250601,478.90
Royalston,1353,152063,112.3895048,407.50
Russell,1769,208900,118.089316,891.52
Rutland,8068,782441,96.9807883,562.04
Salem,41361,5834758,141.0690747,974.70
Salisbury,8608,534432,62.08550186,424.56
Sandisfield,849,29310,34.5229682,132.76
Sandwich,19960,953340,47.76252505,344.46
Saugus,27946,3103116,111.0397195,578.91
Savoy,707,98003,138.6181047,731.51
Scituate,18297,1701540,92.99557304,-2.81
Seekonk,13869,1040834,75.04751604,734.77
Sharon,18044,1184040,65.61959654,293.75
Sheffield,3297,206062,62.49984835,648.31
Shelburne,2031,221196,108.9098966,678.62
Sherborn,4285,183212,42.75659277,-823.74
Shirley,8110,1109735,136.8353884,670.14
Shrewsbury,33973,2356176,69.35436965,293.15
Shutesbury,1836,143436,78.12418301,850.35
Somerset,18556,1297302,69.91280448,739.65
Somerville,76460,21311532,278.7278577,1187.27
South Hadley,17387,2209062,127.0525105,858.87
Southampton,5991,538950,89.95993991,637.74
Southborough,9724,369948,38.04483752,-473.03
Southbridge,17487,2975671,170.164751,1151.48
Southwick,9706,1066935,109.9253039,682.60
Spencer,12017,1913110,159.2002996,600.24
Springfield,155575,32020398,205.8196883,1577.35
Sterling,7786,586397,75.31428204,448.01
Stockbridge,2196,84313,38.393898,-740.09
Stoneham,21560,3143525,145.8035714,617.57
Stoughton,27169,2708574,99.69354779,715.63
Stow,6671,356070,53.37580573,351.67
Sturbridge,8859,655305,73.97053844,572.30
Sudbury,17714,1184015,66.84063453,-114.70
Sunderland,3909,427516,109.3671016,609.33
Sutton,9180,660269,71.92472767,413.38
Swampscott,14044,1094842,77.95798918,223.39
Swansea,16175,1588632,98.21527048,825.01
Taunton,55815,7114121,127.4589447,818.19
Templeton,7963,1179482,148.1203064,620.83
Tewksbury,30597,2354150,76.94054973,527.38
Tisbury,3916,82939,21.17951992,-1914.78
Tolland,466,15633,33.5472103,-1236.64
Topsfield,6144,518803,84.44059245,-54.54
Townsend,9687,1111624,114.7542067,779.92
Truro,2123,25446,11.98586905,-2135.71
Tyngsborough,11980,817416,68.23171953,586.26
Tyringham,340,10739,31.58529412,-772.20
Upton,6722,450325,66.9927105,129.10
Uxbridge,12887,1163833,90.31062311,504.68
Wakefield,25199,2849501,113.0799238,643.86
Wales,1905,199783,104.8729659,830.50
Walpole,23461,2155690,91.88397767,372.78
Waltham,60605,8122362,134.0213184,756.41
Ware,9888,1460280,147.6820388,1091.12
Wareham,21349,1673496,78.38755914,794.33
Warren,5287,765257,144.7431436,914.77
Warwick,748,107572,143.8128342,490.11
Washington,541,79890,147.6709797,561.51
Watertown,33120,5641884,170.3467391,466.20
Wayland,13503,764572,56.62238021,-461.56
Webster,16877,2094234,124.0880488,972.48
